Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-03-17 00:00:00+00:00,1805.01,1838.88,1741.18,1823.58,658349.44843,2021-03-17 23:59:59.999000+00:00,1177718486.9646137,872416,337373.92544,603533782.448005,0
2021-03-18 00:00:00+00:00,1823.58,1850.0,1759.04,1776.08,603721.61056,2021-03-18 23:59:59.999000+00:00,1092346826.5536904,783517,284617.82364,514992961.4272932,0
2021-03-19 00:00:00+00:00,1775.92,1840.61,1733.47,1809.1,500258.42875,2021-03-19 23:59:59.999000+00:00,901801564.202326,703977,250974.49054,452606834.7538839,0
2021-03-20 00:00:00+00:00,1809.01,1868.83,1800.86,1806.1,451556.10639,2021-03-20 23:59:59.999000+00:00,828404987.6527742,743672,230001.04734,421947140.57311445,0
2021-03-21 00:00:00+00:00,1806.57,1817.16,1747.0,1782.98,465953.98749,2021-03-21 23:59:59.999000+00:00,830951276.5130767,748800,227170.16353,405242308.7464666,0
2021-03-22 00:00:00+00:00,1783.23,1807.51,1655.15,1680.97,582727.49081,2021-03-22 23:59:59.999000+00:00,1019780398.7821895,879976,284682.99701,498556293.2724821,0
2021-03-23 00:00:00+00:00,1681.17,1721.17,1650.0,1668.08,577213.99589,2021-03-23 23:59:59.999000+00:00,975522491.0640426,654415,286791.61839,484836342.0061468,0
2021-03-24 00:00:00+00:00,1668.2,1740.86,1536.92,1581.84,753834.52393,2021-03-24 23:59:59.999000+00:00,1251031751.1563811,994542,360806.99166,599730061.1379827,0
2021-03-25 00:00:00+00:00,1581.88,1622.0,1549.4,1585.74,701697.00258,2021-03-25 23:59:59.999000+00:00,1115502879.6291516,778215,357916.02537,569176818.6933715,0
2021-03-26 00:00:00+00:00,1585.83,1699.93,1585.79,1698.84,515470.92907,2021-03-26 23:59:59.999000+00:00,844707873.9147713,650812,265021.0976,434412049.546837,0
2021-03-27 00:00:00+00:00,1698.84,1732.67,1666.41,1712.63,443845.49957,2021-03-27 23:59:59.999000+00:00,753555521.6446562,516929,223163.53,378944599.8136217,0
2021-03-28 00:00:00+00:00,1712.52,1725.66,1661.4,1687.01,348895.51314,2021-03-28 23:59:59.999000+00:00,592836644.5993392,512231,169502.24442,288084679.2831071,0
2021-03-29 00:00:00+00:00,1687.16,1841.0,1677.85,1816.74,647724.46387,2021-03-29 23:59:59.999000+00:00,1148231088.811587,846836,342048.8415,606329959.123471,0
2021-03-30 00:00:00+00:00,1816.76,1859.13,1786.3,1840.46,568842.00526,2021-03-30 23:59:59.999000+00:00,1039262033.3867555,856093,283746.67403,518558427.2436417,0
2021-03-31 00:00:00+00:00,1840.41,1947.29,1768.15,1919.37,746995.8591,2021-03-31 23:59:59.999000+00:00,1387448329.8618674,1040362,377271.88679,700970286.0783392,0
